T,nH,SFR,old,values
3.2689999999999997,3.0869999999999997,0.624,9.673,-17.863247733673337
7.847,3.0980000000000003,-3.4530000000000003,6.507999999999999,-16.347077112432057
7.03,-6.216,1.6480000000000001,6.659,-31.24379002879049
8.76,3.7310000000000003,-3.568,9.416,-14.594243960226045
8.818999999999999,3.18,1.495,9.353,-15.653314584972426
6.308,3.4560000000000004,-1.9,6.167999999999999,-15.179516110996275
3.112,3.647,-1.264,10.269,-17.598341027504848
3.5860000000000003,-2.82,1.8659999999999999,8.898,-30.019369514509897
8.748,-3.054,-4.721,11.737,-26.33125076998013
3.9,3.59,-3.9789999999999996,9.286,-17.426327897519418
2.113,-1.127,-3.28,9.888,-26.027820312263646
5.329,2.452,2.859,9.45,-16.385007924173575
2.131,-3.465,0.336,6.644,-31.95175246819603
3.12,-7.504,-4.273,9.455,-38.61220099053764
3.2739999999999996,1.8119999999999998,-2.396,9.081,-20.553105727528127
2.56,2.605,-0.19699999999999998,11.450999999999999,-19.1455421335227
4.8839999999999995,-2.411,-0.138,6.374,-26.900422939083292
2.443,3.821,0.7090000000000001,6.207000000000001,-17.527843495984758
2.911,-8.961,-2.6689999999999996,10.49,-39.33997927773208
3.342,-0.516,-3.303,7.899,-24.679064804531407
6.767,1.555,0.653,11.765,-19.419942198713297
6.877000000000001,-7.63,-2.8489999999999998,9.996,-34.52482293923899
6.55,-5.195,0.856,11.981,-30.396173854757837
6.571000000000001,3.8739999999999997,2.376,11.335999999999999,-14.71810344975394
7.6339999999999995,-1.7519999999999998,-0.32299999999999995,6.33,-26.12436584591692
6.515,-2.291,2.298,6.6339999999999995,-27.00409729221981
2.142,0.58,-1.4480000000000002,9.892000000000001,-22.98138270748056
3.498,-6.551,0.6659999999999999,7.042000000000001,-36.079913214445675
8.261000000000001,-0.235,0.632,11.919,-22.77876838681859
2.457,2.826,-2.7969999999999997,6.817,-19.875691447384348
3.9810000000000003,-5.871,-0.484,8.554,-35.76110120777216
2.524,-1.158,1.871,6.757999999999999,-26.07404365013876
2.487,1.3030000000000002,-1.183,7.829,-21.436613852737327
4.559,2.528,-4.989,11.117,-16.85028835031207
8.902999999999999,-5.386,-2.9989999999999997,11.802,-28.45695063936047
8.696,-1.042,-2.838,7.67,-24.184143436480824
5.617000000000001,-5.257000000000001,0.027999999999999997,7.021,-33.20346729445373
2.73,-6.188,2.2880000000000003,11.982999999999999,-34.72017341820599
7.417999999999999,-1.931,-1.662,11.798,-26.208218151698947
2.292,-3.153,1.625,10.747,-31.55559604425045
4.976,-5.3260000000000005,-4.579,8.708,-32.83191520385932
5.611000000000001,2.338,-1.736,8.626,-17.009141900993086
4.558,1.883,1.328,11.827,-18.284807539149774
2.24,-6.34,-3.111,6.233,-37.639671711927946
2.678,-1.653,-1.376,6.051,-26.73041701393339
6.9910000000000005,0.845,-1.348,10.649000000000001,-20.82760142206069
4.396,-4.638,-2.388,7.922999999999999,-32.318261418412966
5.739,3.247,-3.9360000000000004,9.765,-15.246723429815582
8.719,3.3169999999999997,2.78,6.984,-15.450641105657535
8.888,-1.2009999999999998,-2.617,11.22,-24.242421787963625
6.334,2.256,2.715,6.507999999999999,-17.63294240938716
3.585,-4.373,-1.74,11.855,-31.928081189636195
5.2170000000000005,-2.4330000000000003,2.674,9.56,-28.04846335377726
8.386000000000001,3.602,-1.57,8.295,-15.082772906243678
2.97,0.19899999999999998,1.662,8.081,-22.990974257913088
5.397,-5.903,2.707,7.26,-31.505094392183658
2.081,2.544,-4.101,9.195,-21.09378351629417
8.087,-0.493,2.785,8.405,-23.07134303499719
2.048,-0.56,0.191,8.846,-24.945118945137228
5.848,-0.466,2.819,7.749,-23.328299657183447
6.409,-0.49700000000000005,-2.8339999999999996,8.109,-23.25869079110043
4.405,-8.363999999999999,-0.841,6.683,-38.40885744967658
6.232,-2.832,-4.809,6.656000000000001,-27.61269917755171
3.09,3.7560000000000002,2.553,11.845,-16.694068525536686
7.975,-8.432,-2.625,8.059,-35.4864361681494
5.144,-1.26,-2.673,9.919,-23.86106605974308
4.468,0.542,-2.338,6.337000000000001,-20.890961704425614
8.279,1.722,2.1830000000000003,11.222999999999999,-18.898115512832454
8.847999999999999,-7.377000000000001,1.931,11.834000000000001,-30.07556563645677
8.929,2.115,0.26899999999999996,6.274,-17.69667432178109
4.301,-2.7239999999999998,-4.93,7.246,-27.940285154453573
4.697,3.265,-1.608,11.450999999999999,-15.191471696060555
2.106,-3.4019999999999997,-4.499,9.241,-31.113774444603795
3.085,-0.58,2.459,11.877,-24.301690625482426
4.708,2.957,-4.323,6.377999999999999,-15.782226622598506
4.5969999999999995,-8.781,-4.265,6.438,-39.337657779233695
7.537999999999999,3.824,-4.75,8.802,-15.004351645163002
4.012,-8.502,2.924,11.687999999999999,-35.25083590807124
6.627999999999999,3.5639999999999996,-2.489,11.31,-15.371733711588918
2.424,3.361,0.519,7.904,-18.191107388989412
3.696,-5.095,-0.564,6.061,-34.39607654597951
8.994,-8.794,-4.175,10.579,-33.002408313626496
8.821,-6.4479999999999995,2.7030000000000003,8.522,-28.630097979975986
4.202,-5.961,2.951,6.176,-32.514065736228254
6.968999999999999,-5.577999999999999,2.833,11.925999999999998,-29.437897552945195
8.503,-3.7030000000000003,-0.259,8.328,-29.005986563629094
2.45,-8.753,-0.5529999999999999,7.247999999999999,-40.50538629880306
5.91,-8.4,-4.243,8.681000000000001,-37.327458833606016
7.655,3.049,2.96,8.779,-16.5189015034348
3.609,3.9989999999999997,2.635,9.606,-16.104511154520434
5.862,-8.514,2.1069999999999998,6.1610000000000005,-34.25103713874384
2.353,-1.197,2.5140000000000002,9.666,-26.779525793870782
3.443,1.02,0.32799999999999996,6.556,-21.38791581477208
2.909,-8.597000000000001,-0.191,10.866,-38.546712245148356
7.877000000000001,0.231,-4.535,6.864,-22.068425180502647
2.0909999999999997,-3.322,-1.825,7.756,-30.63268135907031
3.01,-1.321,-4.927,6.081,-26.52629411311223
3.968,-8.252,-4.872,7.84,-39.37706103078851
2.367,-6.296,2.3480000000000003,6.626,-35.285670240254774
4.187,-0.451,-1.197,9.376,-23.790350964631767
8.917,-5.8839999999999995,-1.569,7.382999999999999,-31.85886390987926
2.157,3.904,-4.566,6.126,-19.17130144395556
7.547000000000001,1.29,-2.113,7.239,-20.070029615090988
2.505,1.37,-4.752,7.812,-22.54080359220189
6.895,-5.05,0.075,8.261000000000001,-31.732499740606734
2.195,-8.898,1.743,7.559,-38.66584794700771
7.8020000000000005,0.8340000000000001,-3.91,8.3,-20.893605096869575
2.472,3.488,2.605,8.179,-17.605740992523895
2.175,-3.1519999999999997,-4.345,7.597,-30.016206882037896
2.187,1.725,2.3930000000000002,10.809000000000001,-20.395568731846712
4.5,-8.437000000000001,-4.899,10.131,-37.579071069902
2.079,-7.319,-3.236,11.825,-37.18391785997161
6.1739999999999995,-7.053999999999999,-4.956,6.78,-35.99835280865396
2.9219999999999997,-1.301,0.087,11.470999999999998,-25.937907107369828
6.972,-3.3160000000000003,-0.525,10.612,-29.022148410986844
4.453,-5.86,0.583,11.49,-33.62486700648284
4.406000000000001,-3.944,2.806,10.779000000000002,-30.42426962598005
7.931,0.9540000000000001,0.446,7.894,-20.599099530345363
7.789,-5.468999999999999,-1.825,9.052999999999999,-32.19433605716755
6.5329999999999995,-4.356,-3.0589999999999997,7.115,-31.181807108740397
8.898,3.0989999999999998,1.228,9.31,-15.754043394349804
3.049,1.163,-2.416,8.988,-21.6547047044207
7.882999999999999,-1.564,0.061,6.712999999999999,-25.646737914083687
2.759,-2.263,-1.881,6.25,-27.935317433771488
3.0660000000000003,0.231,1.6880000000000002,7.824,-22.89513748185892
7.865,-8.492,-2.219,8.579,-35.46341630848326
4.563,3.247,-3.6519999999999997,6.426,-15.419348681851964
6.848,-5.916,2.66,11.4,-30.09393984689191
8.0,0.018000000000000002,-4.19,6.434,-22.440668028679095
6.968999999999999,-5.3629999999999995,-0.163,8.809,-32.18462815872085
7.07,-1.264,-1.749,10.137,-25.068572642875786
4.081,-2.682,0.45799999999999996,10.298,-28.795662924371854
2.6239999999999997,-4.428999999999999,-3.063,11.094000000000001,-32.509044771799466
3.812,-2.715,-0.537,8.566,-28.6105681024178
7.331,3.495,1.125,6.776,-15.683421648458829
2.99,3.522,-3.387,10.493,-17.97810812608089
3.2430000000000003,-4.337,-3.02,10.158999999999999,-31.681289881081657
3.6689999999999996,-2.2319999999999998,-4.016,10.625,-27.62943140123295
6.3629999999999995,2.9330000000000003,-2.04,6.348,-16.327089755244465
2.9930000000000003,2.839,-0.069,11.749,-18.43894634364171
6.374,-2.34,2.7060000000000004,6.492999999999999,-26.882728704344235
7.893,-1.35,-3.3110000000000004,7.475,-25.22369116546064
7.01,0.778,-1.081,10.797,-20.96417017474717
4.68,-0.16399999999999998,-2.299,10.807,-22.103964569985642
8.243,-3.9019999999999997,-0.21,8.119,-29.45053079619451
2.511,-3.5589999999999997,-2.307,7.926,-30.73938012482763
6.859,-9.396,1.453,11.267000000000001,-34.59555972032068
6.997000000000001,1.271,2.153,10.424000000000001,-19.976171607465112
5.752999999999999,-1.82,-2.524,7.047999999999999,-25.38928661780805
8.327,-1.9069999999999998,1.192,6.914,-25.811268328554252
3.807,0.8390000000000001,2.0909999999999997,10.792,-21.608570855080558
2.7560000000000002,3.958,-1.6869999999999998,10.454,-17.470749355467596
4.468,-2.8160000000000003,-0.22899999999999998,6.627000000000001,-28.615109203469444
2.2769999999999997,0.275,-1.1840000000000002,9.958,-23.25979526449255
5.452000000000001,-5.379,0.17600000000000002,7.025,-33.38375561117076
1.791,3.114,-3.883,9.831,-21.0514158933194
4.3919999999999995,1.328,-2.262,7.335,-19.286803566274756
7.176,2.6439999999999997,-4.684,8.677999999999999,-17.324826793555992
2.72,-8.625,-0.349,6.972,-39.924489535475594
8.086,1.3430000000000002,-3.613,8.587,-19.751340256951664
7.837999999999999,-3.5010000000000003,-3.111,10.822000000000001,-28.56019378860667
4.917,1.044,0.565,9.046,-19.282953932018184
2.215,-2.944,-0.316,10.163,-30.332491012727427
5.3629999999999995,-7.522,-2.234,9.794,-36.100699430539215
7.957000000000001,2.273,-0.397,11.785,-17.9497362773542
4.681,1.0590000000000002,-0.133,7.965,-19.658684205403528
8.681000000000001,2.785,-1.3019999999999998,10.540999999999999,-16.540381376082625
4.56,2.099,3.0810000000000004,6.702999999999999,-18.01752523912015
6.263999999999999,-2.095,1.058,10.276,-26.762380870053807
2.513,4.056,1.169,6.132000000000001,-17.03098035239682
3.984,-6.297999999999999,0.5589999999999999,7.149,-35.44403541525857
2.21,-6.852,2.832,12.175,-35.440236967123205
5.827000000000001,3.258,-3.908,9.693999999999999,-15.296287431542371
8.002,-0.8270000000000001,2.505,8.725,-23.77381267716012
7.752999999999999,2.0469999999999997,2.189,11.072000000000001,-18.486809044582635
4.208,-7.915,2.6010000000000004,11.512,-34.7825160557861
6.239,-8.562999999999999,-3.614,8.741,-37.11020544287555
3.443,-8.397,-5.188,7.859,-40.04237834842061
1.9869999999999999,3.612,2.911,8.182,-18.359508625054453
7.75,-3.028,-2.218,7.132999999999999,-28.63059858630337
7.6610000000000005,-0.852,-4.199,9.638,-24.319157048475073
6.809,3.235,1.025,8.509,-16.060525676720722
3.839,-3.318,1.6,6.566,-30.95577392288732
7.974,-3.3810000000000002,-4.212,8.083,-29.22402566887063
6.511,0.095,-4.261,6.902,-22.216983057337966
8.551,-2.231,-4.982,11.372,-25.974366488939303
2.697,-8.825,-2.28,9.725,-40.134061418251186
8.716000000000001,-0.261,0.903,11.859000000000002,-22.544059358547496
7.355,-1.929,-1.479,11.992,-26.131673024048386
8.596,2.303,3.016,6.789,-17.556361568833545
2.487,-0.466,-0.26,9.472999999999999,-24.406680697428698
9.235,-7.945,2.6910000000000003,11.852,-29.67380756187223
6.551,3.1069999999999998,-2.396,11.487,-16.235398004436664
7.732,2.4730000000000003,2.886,8.353,-17.642694192453906
1.9609999999999999,-2.609,-4.57,7.736000000000001,-29.34905170962676
4.301,-9.164,-0.446,10.177,-38.340140822642695
5.5089999999999995,-7.315,-1.6440000000000001,6.066,-36.72848365548837
6.949,-3.7460000000000004,2.1830000000000003,10.919,-28.296046934621614
7.369,-6.09,0.054000000000000006,6.901,-32.35846640117557
9.085,-3.239,-1.1440000000000001,10.284,-27.524445026415872
5.489,-0.7440000000000001,-1.2409999999999999,10.989,-22.918472673755197
2.437,-5.781000000000001,2.263,9.886000000000001,-34.7802583389537
5.952000000000001,2.593,0.21,10.487,-16.664702607297993
8.01,-7.832999999999999,-4.8469999999999995,7.938,-34.91535223914527
3.714,3.978,-4.02,9.061,-17.256560794258235
3.24,-0.171,-3.7260000000000004,7.358,-24.209334906543354
2.575,2.4859999999999998,-1.984,6.622000000000001,-19.875691447384348
2.362,-3.3280000000000003,1.258,11.046,-31.833777165427914
9.052999999999999,-1.9769999999999999,-2.8369999999999997,11.787,-24.85001154350853
5.746,-0.975,2.6439999999999997,7.731,-24.59932388721279
9.006,3.612,-0.401,6.666,-14.635993386294329
2.394,3.4,0.6709999999999999,7.938,-18.16101246062872
3.6519999999999997,3.617,2.488,9.869,-16.69026340089071
3.755,0.196,-0.755,9.133,-23.050551440743014
2.5839999999999996,1.6280000000000001,1.883,10.424000000000001,-20.280395293036374
7.334,-6.52,-3.775,8.088,-34.217204999610644
2.489,-8.359,2.184,10.0,-37.38960603028769
8.177,-0.774,2.832,11.140999999999998,-23.338944915146623
8.707,-4.027,-2.895,9.347999999999999,-29.54175508194487
2.63,-7.207000000000001,0.726,9.033999999999999,-37.54149812531361
4.637,3.375,-2.6710000000000003,7.1579999999999995,-15.07283502570063
8.737,-3.8939999999999997,1.5519999999999998,11.620999999999999,-27.00614510866395
5.113,3.255,0.257,6.593,-14.813891620186794
2.5180000000000002,-1.895,-3.279,9.093,-27.21271668007589
6.476,2.1790000000000003,0.7809999999999999,11.595999999999998,-18.00356713843041
4.224,-6.291,-0.43200000000000005,8.316,-36.068348926503845
5.341,-5.9,-4.335,8.406,-34.14261925130693
6.8870000000000005,1.994,2.846,6.7170000000000005,-18.535689334074114
4.141,-3.217,-5.311,7.531000000000001,-29.429573821641032
3.6,-4.989,-0.743,6.107,-34.09651389999241
8.997,-5.817,-1.087,6.712999999999999,-31.45221299182661
4.781000000000001,-8.0,-4.959,9.895,-37.083288183420116
7.837000000000001,-6.821000000000001,-0.11900000000000001,10.863,-31.838332587562267
4.543,-4.423,1.216,10.418,-32.22064164242104
5.774,-0.624,0.49,7.15,-23.02272921125876
7.407,1.183,-2.7910000000000004,11.515,-20.308591362369935
5.386,-7.814,0.094,8.11,-36.02402164619209
8.274,0.938,-1.3519999999999999,9.105,-20.46977468045937
5.186,-7.995,0.025,11.165999999999999,-35.37594491071757
5.175,-1.348,-4.095,8.718,-24.01236501255156
8.137,3.783,-3.7739999999999996,6.204,-14.847344801182711
5.327999999999999,2.274,2.98,9.171,-16.74882429999326
2.36,-1.229,1.5930000000000002,6.438,-26.51303141450943
5.568,2.3040000000000003,-1.7080000000000002,8.488,-17.017746862940847
3.327,-3.483,-0.519,11.405,-30.045627221755446
4.0969999999999995,-8.509,0.111,6.586,-37.995205889611285
4.516,2.694,-1.986,11.617,-16.561631720312064
2.4619999999999997,-1.403,1.9880000000000002,10.113999999999999,-26.779186103214514
3.014,2.511,-4.694,6.361000000000001,-20.475344287642226
5.671,-5.095,-0.973,9.355,-33.114197923469874
7.761,0.125,1.4340000000000002,9.27,-22.324175849087762
3.114,-7.359,-2.39,8.08,-39.078079536642974
8.433,-8.47,-0.542,8.601,-34.190689487015916
3.49,-0.19399999999999998,-0.912,11.187999999999999,-23.68124818614289
6.985,2.0469999999999997,-0.812,9.155,-18.423140570292496
5.2620000000000005,2.301,-2.205,9.914,-16.68714590874171
2.38,-3.218,0.653,6.535,-30.932036910498727
6.902,-5.337000000000001,0.45399999999999996,11.914000000000001,-30.272418080597753
2.533,1.198,-1.5030000000000001,7.851,-21.637743779216905
4.096,1.8219999999999998,1.09,11.573,-19.425343798063057
5.621,-2.665,2.7060000000000004,9.744,-27.95734574683221
6.364,-2.6639999999999997,-4.664,6.515,-27.52466301290938
3.025,0.982,0.612,6.909,-21.41043015366556
6.87,-7.127000000000001,-4.862,6.94,-35.410653694169724
8.933,-9.045,-1.3869999999999998,9.184,-34.49915999538221
2.967,-6.6129999999999995,-0.956,9.985,-37.29246388755022
6.341,2.495,-3.472,7.915,-17.164842320807335
7.169,-8.09,-0.618,9.449,-34.911474107568736
3.1430000000000002,-0.145,-4.656000000000001,11.578,-23.592677092160358
5.002,-7.807,-3.286,7.3389999999999995,-37.920854946667255
9.116,1.959,-3.5460000000000003,9.193,-17.83686845396505
2.989,-7.343999999999999,-4.316,9.586,-38.45713724274136
6.587000000000001,3.9760000000000004,2.736,11.030999999999999,-14.525448671482868
4.118,2.449,-5.0,11.182,-17.721635152262312
2.319,-7.377999999999999,-4.247,6.114,-39.815166666066645
8.267999999999999,2.8369999999999997,-1.692,7.375,-16.67485393150925
3.2489999999999997,3.9019999999999997,2.384,12.087,-16.435262939728588
2.685,-0.83,2.204,11.932,-25.171733337275324
2.759,-8.54,-0.8290000000000001,11.132,-38.41113469623365
2.419,1.895,-4.613,7.547999999999999,-21.914174466479253
2.875,-1.158,-0.24,11.404000000000002,-25.71388049740964
2.125,1.419,0.7,6.542999999999999,-21.111023439561396
6.891,-0.499,-2.548,6.481,-23.52111619581372
3.0410000000000004,1.959,2.161,10.465,-19.522965612863764
3.708,2.4819999999999998,0.993,9.715,-18.652884745158595
2.4,2.108,-0.188,8.926,-20.07698925703629
2.451,-3.7289999999999996,-4.284,7.117999999999999,-30.93869834379396
7.409,-7.71,-2.9539999999999997,9.955,-34.112264578629215
5.221,-0.105,1.06,7.277,-21.557739785439445
8.564,-6.002000000000001,-1.012,10.421,-30.761201437286086
2.5669999999999997,3.679,-1.9369999999999998,6.54,-18.200942178646624
7.617999999999999,-0.364,0.929,11.347000000000001,-23.347724642517363
6.319,-7.591,-0.29600000000000004,6.831,-35.24418610221685
8.139,-8.57,-0.185,9.675,-34.09659526359156
8.751,-6.059,-1.197,11.107000000000001,-29.966013634760394
4.583,-2.877,-2.293,10.969000000000001,-28.233773106425833
4.735,-5.475,-4.377,10.392999999999999,-33.4835968515526
2.286,-8.459,2.2769999999999997,8.672,-37.601990509769244
6.976,-2.6889999999999996,1.0859999999999999,10.547,-27.75825434742936
7.398,3.3739999999999997,-3.3089999999999997,8.852,-15.927272310414734
6.556,-3.485,-3.86,7.412000000000001,-29.447709066175236
4.602,3.591,2.802,9.222999999999999,-14.771009689159277
8.22,-0.39299999999999996,-4.2330000000000005,6.6,-23.158934747925
5.928999999999999,1.21,2.485,11.905,-19.434837207166762
4.333,-1.575,-0.687,7.0120000000000005,-25.86825305489912
4.382,-7.537000000000001,-0.47,7.742999999999999,-37.27806578914599
6.504,3.4189999999999996,-3.8689999999999998,8.578,-15.560398916165655
7.882000000000001,0.18100000000000002,-2.496,10.824000000000002,-22.16545849913492
7.407,1.078,-0.196,6.562,-20.518786762487792
6.146,0.08,1.8559999999999999,7.311,-21.730860803207822
7.15,-8.127,-0.17,7.507000000000001,-34.829386296622594
7.061,-0.49,-4.993,10.405,-23.516655233996534
6.202000000000001,-0.172,-3.77,8.271,-22.2534280699681
7.207999999999999,-0.446,-0.888,8.356,-23.524852023081756
7.204,-0.868,2.855,9.046,-24.137421432232927
7.484,-3.9819999999999998,-4.281000000000001,9.901,-30.16322030405016
5.755,-0.40299999999999997,-3.8080000000000003,11.519,-22.556737012541305
3.9589999999999996,-5.541,-4.92,9.3,-34.43406957881904
2.121,-2.436,2.03,6.792000000000001,-30.217298105942213
8.766,-7.1160000000000005,2.984,8.953,-29.072101207610586
8.95,-7.806,1.2670000000000001,10.071,-31.27107024665629
6.945,-7.5360000000000005,0.53,7.632999999999999,-33.762179889205925
5.462999999999999,3.299,1.338,9.613,-14.76454730873678
