17,5026,21,335
5046,17,5026,335
882,21,47,335
1255,22,142,5968
23,22,1595,521
23,3938,22,1595
80,4643,136,2
1477,5150,2,6
3074,5150,2,6
45,5046,17,335
5732,17,5026,21
5732,5026,21,335
5732,5046,5026,335
365,882,47,335
3576,127,21,20
164,25,5292,0
164,1899,5292,0
1267,3,1492,0
1267,3,4643,1492
1267,1924,4643,1492
951,1477,2,1124
441,5627,5944,19
84,1255,22,142
84,18,1255,142
84,1255,22,5968
84,3938,22,5968
5764,3938,22,5968
5764,3938,22,1595
5764,22,521,5968
5764,22,1595,521
5764,84,3938,5968
553,852,9,5
553,852,206,9
69,852,206,9
191,3,4643,1492
191,1924,4643,1492
735,1477,2,1124
735,1477,5150,2
735,5478,5150,2
4893,4054,5967,3865
331,45,47,335
4496,5046,17,5026
4496,45,5046,17
15,5627,5944,19
174,441,18,378
174,441,18,19
5717,131,35,34
2706,4893,3865,335
491,882,21,47
5758,491,21,47
5758,491,3576,21
5758,491,882,47
42,1477,5150,6
42,1477,5150,40
894,2575,2076,1395
132,164,27,137
132,26,164,27
1,164,1899,0
1249,164,1899,5292
1249,164,25,5292
1249,26,164,25
5459,3132,1899,5292
5459,1249,1899,5292
5459,3132,1899,185
5459,1249,1938,5292
146,533,627,136
146,80,136,2
146,551,40,2
4646,984,5846,4923
4625,984,5846,4923
5969,4643,136,2
5969,3,4643,2
5969,1267,3,0
5969,1267,3,4643
5969,80,4643,136
5969,146,80,136
5969,1267,1924,4643
679,951,1477,2
679,551,40,2
468,1255,36,142
468,1005,36,142
468,1005,1255,36
468,18,1255,142
468,1005,18,142
468,5895,18,763
3567,441,18,19
3567,441,5627,19
3567,15,5627,19
3567,441,18,14
943,696,2076,1395
250,23,3938,22
250,84,22,19
250,84,3938,22
250,23,3938,1595
349,22,142,5968
349,5982,1593,5968
349,22,521,5968
349,5764,521,5968
349,1593,5764,5968
361,1593,5764,5968
361,5982,1593,5968
249,371,5623,425
249,5623,138,6
249,7,5623,6
249,1527,138,10
249,371,5623,138
249,371,1527,138
789,371,1527,138
3158,174,18,19
541,553,9,5
541,553,4,5
541,553,206,9
541,69,206,9
3970,5779,4627,680
1930,3074,2,6
1930,3074,5150,2
1930,5478,5150,2
1930,5486,3074,5150
87,3,4,1492
87,191,3,1492
87,191,3,4
87,92,4,1492
87,191,1924,1492
5980,3,4,5317
5980,191,3,4
4311,735,5478,5150
24,146,627,136
24,146,551,627
24,533,627,136
24,533,627,25
24,146,551,40
24,533,5292,136
24,533,25,5292
1465,32,44,323
410,44,323,40
1564,4893,4054,5967
1564,1689,4893,4054
994,151,3143,560
1100,5732,17,5026
1100,5732,5046,335
134,4496,17,5026
5974,174,5944,19
5974,441,5944,19
5974,174,441,378
5974,174,441,19
5974,3567,441,378
5974,441,5627,5944
5974,3567,441,5627
667,882,21,335
667,5732,21,335
667,491,3576,21
667,365,882,335
667,3576,21,20
667,5747,21,20
3124,132,27,1253
3124,132,26,27
3124,132,26,164
3124,1249,26,164
3124,1249,132,164
