3,140,958
373,140,3
131,39,0
39,131,97
3,141,2
141,1023,2
15,3,30
15,373,3
27,354,0
1,114,28
288,114,1
548,3,958
12,141,3
452,540,612
102,4,6
4,125,27
647,6,29
117,831,5
114,331,28
452,962,540
540,962,180
962,12,180
12,962,141
962,452,141
26,354,27
252,29,2
252,1021,29
1021,89,29
89,647,29
639,131,0
831,992,5
1040,75,122
606,288,1
117,212,838
331,212,28
28,212,5
212,117,5
624,452,612
933,624,612
141,1030,1023
602,925,201
872,115,266
375,237,88
751,47,794
1033,747,416
1033,724,747
724,1033,533
667,102,6
667,622,102
647,317,6
125,225,27
225,26,27
493,39,97
60,493,97
165,389,951
389,165,639
1003,715,0
715,639,0
715,389,639
66,294,382
620,1003,0
354,620,0
52,620,354
389,221,951
385,125,4
668,385,4
102,327,4
66,270,741
270,68,741
270,66,382
160,166,538
41,49,538
258,517,274
291,314,645
314,743,645
743,314,451
174,743,451
698,123,397
123,698,450
123,451,397
123,861,451
861,467,451
174,467,216
467,174,451
1048,75,1040
858,732,21
288,858,21
606,858,288
858,606,641
732,268,21
226,537,464
925,70,201
452,374,141
624,374,452
1017,933,612
269,1017,612
1017,269,182
1017,725,933
889,724,794
724,889,747
889,872,266
747,889,266
47,232,794
62,747,266
966,12,3
269,256,182
115,256,266
256,115,182
256,62,266
960,540,180
1028,115,872
115,1028,164
889,1028,872
1028,889,794
232,1028,794
1028,232,164
219,602,182
115,219,182
602,219,64
219,115,164
15,378,373
40,378,15
763,378,40
1007,142,200
200,142,918
142,755,918
422,40,15
190,422,30
422,15,30
1020,877,190
7,1020,30
1020,190,30
579,691,516
516,691,645
691,291,645
751,9,47
162,1033,416
1033,162,533
604,265,253
515,604,253
515,381,604
667,781,622
20,667,6
667,20,163
26,502,354
582,225,125
225,582,26
582,502,26
509,89,1021
401,509,1021
131,923,97
639,923,131
165,923,639
371,66,52
371,294,66
66,866,52
866,620,52
60,1010,603
1010,60,97
923,1010,97
860,101,951
149,101,860
101,165,951
101,149,603
1010,101,603
101,923,165
101,1010,923
1019,221,389
1019,715,1003
715,1019,389
827,1019,1003
221,1019,827
486,369,229
369,1036,229
369,486,315
1036,369,315
926,82,870
401,926,870
926,401,1021
247,159,825
129,826,263
486,129,315
929,385,668
929,668,18
1024,929,382
929,1024,385
622,608,102
608,327,102
259,827,741
410,129,486
410,1039,380
203,59,320
286,59,382
929,286,382
286,929,18
745,270,382
59,745,382
166,420,538
630,831,117
765,41,538
420,765,538
899,997,989
573,992,831
946,892,831
630,946,831
946,630,25
919,145,41
532,114,288
532,288,21
932,532,21
729,160,538
49,729,538
719,729,21
49,34,932
532,34,114
34,532,932
75,939,122
517,939,75
146,719,21
268,146,21
583,314,291
583,698,397
451,583,397
314,583,451
174,835,743
835,174,170
835,557,743
557,835,170
302,279,293
149,874,603
167,453,384
802,453,167
560,904,980
332,75,720
517,332,274
332,517,75
811,332,720
332,811,990
219,474,64
474,219,164
474,807,64
807,474,358
285,302,293
513,285,293
218,813,720
813,218,335
75,218,720
1048,218,75
606,623,641
623,24,955
623,606,1
24,623,1
150,24,1
150,1,0
39,150,0
434,81,307
81,618,307
776,76,464
76,226,464
345,76,645
226,76,345
725,404,454
1045,124,139
602,1038,182
1038,1017,182
1038,602,201
1038,725,1017
118,725,454
118,35,261
747,854,416
62,854,747
602,716,925
716,807,925
716,602,64
807,716,64
1008,807,358
107,960,180
12,107,180
966,107,12
377,966,3
548,377,3
529,377,548
62,834,529
834,377,529
763,1044,1007
142,1044,829
1044,142,1007
520,763,40
422,520,40
520,1044,763
877,520,190
520,422,190
520,877,829
1044,520,829
87,763,1007
763,87,378
378,87,373
944,142,829
142,944,755
1020,383,877
383,621,755
7,368,209
417,204,236
590,560,428
698,752,450
752,845,450
845,752,472
583,752,698
643,934,428
474,128,358
128,474,164
409,534,407
1008,409,407
409,1008,358
290,579,516
534,290,407
237,276,88
575,312,936
530,548,958
548,530,416
530,162,416
1012,1043,1007
1012,1007,200
936,1012,200
9,636,47
232,636,168
636,232,47
845,1035,333
507,1035,586
1035,507,333
157,381,418
157,562,381
381,804,604
562,804,381
575,1031,381
1031,200,918
1031,936,200
1031,575,936
418,1031,918
381,1031,418
597,515,253
80,667,163
80,781,667
781,80,192
468,20,6
494,1036,315
251,317,647
385,867,125
867,582,125
36,252,2
1023,1041,2
1041,625,2
625,1041,187
539,625,187
625,539,2
539,36,2
36,539,22
48,509,401
89,48,647
509,48,89
528,52,354
528,371,52
371,528,294
23,66,741
827,23,741
23,827,1003
264,149,860
964,264,948
264,1029,948
231,434,792
231,931,434
931,231,17
947,231,792
231,947,17
830,83,571
798,830,665
83,830,1032
830,798,1032
247,840,394
840,247,825
742,786,206
129,456,826
456,410,380
410,456,129
508,739,18
739,508,826
826,764,263
508,764,826
668,642,18
642,508,18
440,781,192
781,440,622
129,57,315
57,129,263
264,717,1029
68,38,741
38,259,741
616,221,827
259,616,827
221,616,951
644,429,390
429,644,17
429,93,390
93,429,44
203,600,399
1011,1039,410
1011,410,486
1011,486,229
159,1011,229
1011,159,707
1039,458,380
600,211,399
273,203,320
273,600,203
286,46,59
1037,46,111
59,46,320
46,1037,320
270,1015,68
1015,745,59
522,117,838
919,522,838
522,919,41
482,765,420
946,482,388
765,482,25
482,946,25
976,693,975
789,976,893
976,789,693
992,976,5
893,976,992
789,916,989
916,789,893
998,893,992
899,998,992
998,916,893
998,899,989
916,998,989
527,946,388
946,527,892
527,478,892
112,482,420
899,683,997
683,478,997
478,891,892
683,891,478
573,891,992
308,897,997
478,308,997
527,308,478
442,789,989
789,442,693
693,442,975
679,145,857
679,49,41
145,679,41
329,331,114
54,49,932
54,729,49
54,932,21
729,54,21
146,728,719
729,728,160
728,729,719
258,864,517
864,146,517
864,728,146
379,939,517
146,379,517
379,146,268
379,268,122
939,379,122
823,902,980
902,560,980
712,583,291
691,712,291
712,691,579
1013,158,185
174,155,170
155,158,868
126,557,170
557,126,853
158,126,868
126,1013,853
126,158,1013
743,462,645
557,462,743
462,345,645
345,462,853
462,557,853
152,279,335
152,1048,1040
218,152,335
152,218,1048
577,467,861
874,94,603
874,828,167
167,828,948
828,964,948
828,874,149
264,828,149
828,264,964
402,94,874
922,167,384
922,874,167
922,402,874
922,384,376
302,922,376
285,922,302
922,285,513
862,186,376
350,67,227
654,782,428
560,654,428
902,654,560
448,194,990
194,332,990
332,194,274
460,194,448
813,477,720
477,811,720
280,304,543
304,643,543
304,123,450
643,585,543
1009,1022,641
1022,858,641
858,1022,732
1022,1009,122
268,1022,122
1022,268,732
519,623,955
519,1009,641
623,519,641
519,1040,122
1009,519,122
24,257,955
150,257,24
70,299,201
404,299,531
248,1038,201
299,248,201
248,299,404
404,648,454
648,404,531
648,531,403
1002,191,841
191,70,925
191,1002,70
841,945,139
945,1045,139
191,945,841
1045,945,925
945,191,925
124,246,139
476,246,618
228,246,476
537,213,464
124,213,537
213,124,1045
213,1045,925
500,758,1030
500,1030,141
374,500,141
500,374,624
758,500,624
336,118,454
118,336,35
725,387,933
118,387,725
933,387,624
387,758,624
758,387,261
387,118,261
854,95,416
95,548,416
95,529,548
95,62,529
95,854,62
290,1001,407
859,834,62
859,256,269
256,859,62
540,859,612
859,269,612
960,859,540
834,859,960
377,501,966
834,501,377
501,107,966
107,501,960
501,834,960
1043,1025,1007
1025,87,1007
87,1025,373
1025,140,373
1025,1043,140
383,949,877
877,949,829
949,944,829
944,949,755
949,383,755
153,383,1020
153,7,209
153,1020,7
621,153,209
153,621,383
754,895,918
621,983,755
755,983,918
368,593,209
485,593,368
593,485,209
199,484,236
833,485,368
833,368,7
778,239,5
560,855,904
848,91,375
411,237,375
250,411,375
935,255,871
255,471,250
845,956,450
934,956,845
956,934,643
956,304,450
304,956,643
848,432,91
432,848,590
432,590,428
85,845,333
85,934,845
432,85,91
934,85,428
85,432,428
409,238,534
534,238,168
128,238,358
238,409,358
238,232,168
232,238,164
238,128,164
132,199,236
132,276,199
241,9,751
408,312,533
312,408,936
530,756,162
756,1012,162
756,530,958
140,756,958
694,265,604
1035,694,586
694,804,586
804,694,604
58,260,1049
562,58,987
875,804,562
136,597,253
136,312,575
136,241,312
439,575,381
515,439,381
597,439,515
439,136,575
136,439,597
317,406,6
406,468,6
1036,272,229
494,272,1036
468,649,20
32,80,163
80,32,192
32,494,192
632,251,647
251,632,137
48,632,647
137,632,870
632,401,870
632,48,401
748,840,825
524,867,385
502,297,722
582,297,502
336,734,521
336,414,35
414,336,521
1030,928,1023
928,1041,1023
35,928,261
928,758,261
758,928,1030
502,277,354
277,528,354
297,1018,722
169,502,722
169,277,502
294,727,382
959,727,294
98,866,66
23,98,66
866,98,620
620,98,1003
98,23,1003
798,109,1032
1006,931,17
644,1006,17
931,311,434
311,81,434
737,947,792
737,434,307
434,737,792
488,885,423
735,36,22
1042,735,22
36,735,252
362,786,742
456,937,826
327,207,4
207,668,4
207,642,668
461,440,192
461,494,315
494,461,192
57,461,315
499,608,622
440,499,622
757,207,327
207,757,764
764,757,263
757,57,263
717,761,1029
109,761,1032
761,109,1029
86,264,860
86,717,264
306,273,195
273,306,600
1011,917,1039
917,1011,707
93,917,390
211,386,399
1037,63,320
63,273,320
105,456,380
458,105,380
739,357,18
357,286,18
357,46,286
357,739,111
46,357,111
745,605,270
605,1015,270
1015,605,745
419,38,68
38,419,259
630,921,25
921,765,25
921,630,117
522,921,117
765,921,41
921,522,41
352,420,166
352,112,420
151,527,388
482,151,388
112,151,482
151,978,897
978,151,112
308,151,897
151,308,527
897,824,997
978,824,897
525,683,899
891,673,892
673,891,573
892,673,831
673,573,831
721,34,49
679,721,49
721,679,857
145,614,857
614,721,857
329,372,331
158,994,185
994,862,185
862,994,186
912,174,216
912,155,174
1047,912,216
155,912,158
912,994,158
629,126,170
126,629,868
155,629,170
629,155,868
189,861,235
189,577,861
799,912,1047
922,55,402
384,873,376
873,862,376
453,873,384
554,483,99
230,554,99
426,302,376
426,230,302
186,426,376
230,426,186
67,353,227
16,226,345
226,16,537
246,347,618
427,130,350
130,67,350
347,130,618
130,347,67
196,130,427
618,196,307
130,196,618
109,33,1029
33,109,798
591,460,448
598,342,543
280,342,235
342,280,543
123,444,861
304,444,123
444,304,280
782,370,428
370,643,428
820,585,883
676,685,643
685,585,643
424,299,70
299,424,531
1002,424,70
424,1002,841
531,424,403
424,841,403
172,404,725
172,248,404
1038,172,725
248,172,1038
536,476,1016
536,228,476
362,536,1016
536,362,228
648,254,454
254,336,454
254,648,403
254,734,336
777,1008,407
1001,777,407
1008,777,807
807,777,925
777,213,925
731,776,464
76,731,645
731,76,776
795,983,621
754,795,564
795,754,918
983,795,918
662,795,621
662,621,209
485,662,209
484,981,236
981,417,236
833,894,485
894,662,485
210,7,5
239,210,5
704,442,989
979,704,589
245,848,375
292,276,237
411,292,237
276,292,199
292,411,250
484,367,1049
367,471,1049
292,367,199
255,344,871
91,344,375
344,250,375
344,255,250
255,865,471
865,255,935
58,865,987
471,865,1049
865,58,1049
85,214,91
214,344,91
344,214,871
214,85,333
214,935,871
507,214,333
935,214,507
610,751,794
724,610,794
610,724,533
312,610,533
241,610,312
162,634,533
634,408,533
1012,634,162
634,1012,936
408,634,936
1012,90,1043
756,90,1012
1043,90,140
90,756,140
636,726,168
726,534,168
558,845,472
558,1035,845
752,558,472
558,752,583
705,558,583
712,705,583
1027,705,712
157,396,562
396,58,562
396,157,418
856,935,507
865,856,987
856,865,935
875,700,804
700,507,586
804,700,586
700,856,507
856,700,875
134,562,987
134,875,562
856,134,987
134,856,875
328,136,253
136,328,241
241,328,9
265,328,253
328,636,9
636,328,265
251,222,317
222,406,317
20,852,163
852,32,163
649,852,20
512,272,494
566,240,504
240,566,950
748,287,840
867,839,582
839,297,582
297,839,867
271,246,228
362,271,228
246,271,139
271,362,742
289,742,206
391,289,206
876,928,35
928,876,1041
1041,876,187
876,414,187
414,876,35
1018,43,722
43,1018,959
43,169,722
43,959,294
528,43,294
169,43,528
110,1018,1024
1018,110,959
110,727,959
110,1024,382
727,110,382
524,628,867
628,297,867
628,1018,297
1018,628,1024
1024,628,385
628,524,385
277,846,528
846,169,528
169,846,277
496,1006,644
1006,496,394
143,311,931
311,143,283
311,106,81
106,311,283
476,106,1016
81,106,618
106,476,618
337,737,307
737,337,284
196,337,307
392,449,281
926,869,82
240,178,391
178,950,965
178,240,950
362,323,786
739,1026,111
1026,739,826
937,1026,826
133,764,508
133,207,764
642,133,508
207,133,642
461,498,440
498,499,440
498,461,57
499,498,608
11,761,717
86,11,717
11,83,1032
761,11,1032
11,849,83
849,943,940
943,616,940
11,943,849
943,11,86
943,86,860
943,860,951
616,943,951
188,211,600
188,93,44
211,188,44
917,631,1039
631,917,93
631,188,1039
188,631,93
638,247,390
917,638,390
638,917,707
159,638,707
638,159,247
681,220,571
78,1015,59
203,78,59
78,203,399
340,78,399
310,386,301
340,310,457
310,340,399
386,310,399
63,844,273
844,1026,937
273,844,195
844,937,456
105,844,456
844,63,1037
1026,844,1037
844,458,195
844,105,458
176,419,940
419,176,259
616,176,940
176,616,259
806,550,653
550,806,706
797,899,992
797,525,899
525,797,683
891,797,992
797,891,683
479,704,989
704,479,814
997,479,989
996,479,997
318,704,814
704,318,589
479,318,814
318,479,563
589,318,204
318,563,204
614,104,329
104,372,329
104,145,919
104,614,145
212,104,838
104,919,838
721,1034,34
614,1034,721
34,1034,114
1034,329,114
1034,614,329
994,738,186
880,189,235
770,880,967
880,770,189
822,650,766
822,659,650
968,483,364
799,818,912
738,818,364
912,818,994
818,738,994
490,805,467
805,490,986
510,150,39
510,842,150
510,179,842
179,60,603
94,179,603
481,230,186
481,554,230
156,246,124
156,347,246
156,124,537
16,156,537
353,234,1013
234,353,67
584,196,427
33,202,1029
319,33,798
319,798,665
885,319,665
319,885,488
771,465,802
555,771,802
581,685,430
685,581,585
837,258,274
194,837,274
837,194,460
546,837,460
750,864,258
837,750,258
750,837,546
890,902,823
443,546,460
443,750,546
443,341,864
750,443,864
650,10,766
298,477,813
298,822,766
1046,967,811
1046,770,967
477,1046,811
298,1046,477
1046,298,766
10,1046,766
861,565,235
444,565,861
565,280,235
565,444,280
652,370,782
544,676,643
370,544,643
652,544,370
544,594,676
711,342,598
711,820,883
730,254,403
254,730,734
161,730,403
42,1001,290
42,290,516
42,516,645
731,42,645
777,42,213
42,777,1001
213,42,464
42,731,464
484,275,79
13,275,952
275,484,1049
260,275,1049
954,484,79
954,981,484
894,324,662
473,753,417
417,753,204
753,589,204
907,803,979
704,884,442
979,884,704
803,884,979
442,884,975
848,343,590
245,343,848
343,245,855
590,343,560
343,855,560
471,607,250
607,292,250
367,607,471
607,367,292
592,484,199
367,592,199
592,367,484
655,241,751
610,655,751
655,610,241
726,740,534
740,290,534
611,636,265
611,726,636
740,611,1027
611,740,726
242,927,762
869,242,82
242,869,927
108,852,649
852,108,32
287,355,840
840,355,394
355,744,361
355,287,504
413,271,742
271,413,139
413,841,139
841,413,403
413,161,403
414,412,187
412,539,187
495,177,391
734,177,521
177,495,521
637,644,390
637,496,644
496,637,394
